nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
Gazebo Taman Cinta Smasbo,Taman,5.0,Jawa Timur,Bojonegoro,Kauman,"RVXJ+969, Jl. Panglima Sudirman, Kepatihan, Klangon, Kauman, Kabupaten Bojonegoro, Jawa Timur 62111","https://www.google.com/maps/place/Gazebo+Taman+Cinta+Smasbo/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7781701364ebcf:0x18bb5433138a406f!8m2!3d-7.1515874!4d111.8806226!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBmdhcmRlbuABAA?hl=id"
Sendang Potro,Taman,4.1,Jawa Timur,Bojonegoro,Purwosari,"RM4H+R32, Sedah Kidul, Kec. Purwosari, Kabupaten Bojonegoro, Jawa Timur 62161","https://www.google.com/maps/place/Sendang+Potro/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e777cd09d8b02d3:0x9e7975268fab38f!8m2!3d-7.1929787!4d111.6776478!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
Sumber Maha Dewi,Taman,4.2,Jawa Timur,Bojonegoro,Kapas,"QVQJ+2Q8, Unnamed Road, Padang Mentoyo, Kec. Kapas, Kabupaten Bojonegoro, Jawa Timur 62181","https://www.google.com/maps/place/Sumber+Maha+Dewi/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7781e7385936b5:0xfe7efcacb84d961b!8m2!3d-7.2124726!4d111.881956!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb1oWIhRwYXJrIG5lYXIgYm9qb25lZ29yb5IBDmFtdXNlbWVudF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJUYURkRVpWTlJFQUXgAQA?hl=id"
Rumah Kenangan 31,Taman,5.0,Jawa Timur,Bojonegoro,Bojonegoro,"Jl. Dewi Sartika No.31, Kadipaten, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62111","https://www.google.com/maps/place/Rumah+Kenangan+31/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77814127d5b3a9:0x60256eff1462beac!8m2!3d-7.1511592!4d111.8876326!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
Taman Desa Kandangan,Taman,4.7,Jawa Timur,Bojonegoro,Trucuk,"VRG6+MXH, Kandangan, Kec. Trucuk, Kabupaten Bojonegoro, Jawa Timur 62155","https://www.google.com/maps/place/Taman+Desa+Kandangan/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7779759d05fc21:0xae94cf9cfa90efe8!8m2!3d-7.1233194!4d111.8124932!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
Lapangan Desa Ngringinrejo,Taman,2.5,Jawa Timur,Bojonegoro,Bojonegoro,"VRCF+6MX, Jalan Letjend. Sudirman, Kalitidu, Ngringin, Ngringinrejo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62152","https://www.google.com/maps/place/Lapangan+Desa+Ngringinrejo/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7778e9018252db:0xab6e2ce4e473444a!8m2!3d-7.1293968!4d111.8242425!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
Perkebunan Pepaya California Bakalan,Taman,3.6,Jawa Timur,Bojonegoro,Kapas,"RWCG+627, Ngaglik, Bakalan, Kec. Kapas, Kabupaten Bojonegoro, Jawa Timur 62181","https://www.google.com/maps/place/Perkebunan+Pepaya+California+Bakalan/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e778119b22a96c1:0x65bb13369e3b4a31!8m2!3d-7.1794588!4d111.9250521!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
TPT Project,Taman,3.9,Jawa Timur,Bojonegoro,Dander,"RV26+PHP, Sawah, Ngumpak Dalem, Kec. Dander, Kabupaten Bojonegoro, Jawa Timur 62171","https://www.google.com/maps/place/TPT+Project/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77802922462235:0x9a463f63e8b69ba5!8m2!3d-7.1981648!4d111.861468!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
BABON SIDOBANDUNG,Taman,3.5,Jawa Timur,Bojonegoro,Balen,"QW9V+6HG, Durek, Sidobandung, Kec. Balen, Kabupaten Bojonegoro, Jawa Timur","https://www.google.com/maps/place/BABON+SIDOBANDUNG/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e782be551a3373b:0x45969f9b6c2de02d!8m2!3d-7.2319305!4d111.9439449!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBDmFtdXNlbWVudF9wYXJr4AEA?hl=id"
SELAMAT DATANG DESA PRAMBATAN,Taman,4.8,Jawa Timur,Bojonegoro,Balen,"RWHX+8RF, Jl. Jend. Sudirman, Prambatan, Kec. Balen, Kabupaten Bojonegoro, Jawa Timur 62182","https://www.google.com/maps/place/SELAMAT+DATANG+DESA+PRAMBATAN/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77814a63bcbd5b:0xea40941cf0e23a00!8m2!3d-7.1716778!4d111.9495447!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBHBhcmvgAQA?hl=id"
