nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
Nanjung Jaya Lamp,Taman,5.0,Jawa Timur,Surabaya,Wonokromo,"Ngagel Jaya Selatan St No.64, Ngagelrejo, Wonokromo, Surabaya City, East Java 60245","https://www.google.com/maps/place/Nanjung+Jaya+Lamp/@-7.3785966,112.5962558,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fbb0e57bfa2f:0xad8c02f1eb61daae!8m2!3d-7.2938719!4d112.7548802!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARFoYW5kaWNyYWZ0X211c2V1beABAA?hl=en"
Edmund Arts Gallery,Taman,5.0,Jawa Timur,Surabaya,Lakarsantri,"MMQ6+5V6, Gg. I, Lidah Kulon, Kec. Lakarsantri, Kota SBY, Jawa Timur 60213","https://www.google.com/maps/place/Edmund+Arts+Gallery/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fd00b1d4b93d:0x758affb8d5ceca9c!8m2!3d-7.3120911!4d112.6621352!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Mural Kedung Klinter,Taman,4.8,Jawa Timur,Surabaya,Tegalsari,"Kedung Klinter III No.19, RT.003/RW.03, Kedungdoro, Kec. Tegalsari, Kota SBY, Jawa Timur 60261","https://www.google.com/maps/place/Mural+Kedung+Klinter/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9594a5562a7:0xce4065bdb93c915a!8m2!3d-7.263505!4d112.7329029!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Ext Stasiun Sawahan,Taman,4.4,Jawa Timur,Surabaya,Sawahan,"Jl. Sawahan Dka V No.52-A No.52-A, Petemon, Kec. Sawahan, Kota SBY, Jawa Timur 60252","https://www.google.com/maps/place/Ext+Stasiun+Sawahan/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f94d1f0b22cf:0x943683446e422967!8m2!3d-7.2557461!4d112.7168321!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQtyYWlsX211c2V1beABAA?hl=en"
Surabaya Submarine Monument,Taman,4.5,Jawa Timur,Surabaya,Genteng,"Jl. Pemuda No.39, Embong Kaliasin, Kec. Genteng, Kota SBY, Jawa Timur 60271","https://www.google.com/maps/place/Surabaya+Submarine+Monument/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9628df520e5:0x577443720136fb0b!8m2!3d-7.2656978!4d112.7502733!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEIbW9udW1lbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnpkVzkxVFRablJSQULgAQA?hl=en"
Gedung Cak Durasim,Taman,4.7,Jawa Timur,Surabaya,Genteng,"PPVQ+6RQ, Genteng, Surabaya City, East Java 60275","https://www.google.com/maps/place/Gedung+Cak+Durasim/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f97d349c4d7d:0xc51c4e012d92fdb8!8m2!3d-7.2569184!4d112.7396115!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTGEzUXlTRUYzRUFF4AEA?hl=en"
Patung Suroboyo Raksasa,Taman,4.7,Jawa Timur,Surabaya,Bulak,"QQFQ+V6H, Jl. Pantai Kenjeran, Kedung Cowek, Kec. Bulak, Kota SBY, Jawa Timur 60125","https://www.google.com/maps/place/Patung+Suroboyo+Raksasa/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9821b116e1f:0xa9aabe4fe3f42676!8m2!3d-7.2253023!4d112.7881028!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARBzY3VscHR1cmVfbXVzZXVt4AEA?hl=en"
Gedhong Pusoko MeSir,Taman,4.5,Jawa Timur,Surabaya,Sukolilo,"Medokan Semampir Blok L No. 3, RT. 06 / RW. 02, Sukolilo, Medokan Semampir, Kec. Sukolilo, Kota SBY, Jawa Timur 60119","https://www.google.com/maps/place/Gedhong+Pusoko+MeSir/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fa89c6d578f1:0x92988f974ff4e9b!8m2!3d-7.3056406!4d112.7945418!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQthcnRfZ2FsbGVyeeABAA?hl=en"
S. Pandji Studio,Taman,5.0,Jawa Timur,Surabaya,Sukolilo,"Semolowaru Tengah VI No.15, Semolowaru, Kec. Sukolilo, Kota SBY, Jawa Timur 60119","https://www.google.com/maps/place/S.+Pandji+Studio/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fa58e37d44f5:0x71d35d0a17e88e20!8m2!3d-7.303083!4d112.778668!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQphcnRfbXVzZXVt4AEA?hl=en"
Sungai kali mas,Taman,5.0,Jawa Timur,Surabaya,Genteng,"PPQR+WXG, Genteng, Surabaya City, East Java 60275","https://www.google.com/maps/place/Sungai+kali+mas/@-7.2233234,112.5890562,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f99bb5d42f99:0x411324683fd0202f!8m2!3d-7.2601914!4d112.7424435!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVt4AEA?hl=en"
